id,utme,utmn,watershed,focusarea,name,type,year-compl,upstream,drainage,bankfull-estimated,bankfull-calculated,sponsor,cost-culve,cost-total,survey-date-pre,survey-date-post,design,permit,dimension-length,dimension-height,dimension-width,longitude,latitude
134,604017,4963784,Lower Machias River,Peaked Mountain Pond-Machias River,Holmes brook,Open Arch,2010,9,4.91,,15,NOAA,18765,52183,,,,,60,20,"6'4""",-67.68436,44.819884
135,592254,4992695,Big Lake-Grand Falls Flowage,Little Musquash Stream,North Branch stream,Open Arch,2010,0.82,0.83,,8.2,,,,,,,,52,13,"6'9""",-67.827824,45.081704
136,585244,4990169,Upper Machias River,Third Machias Lake-First Machias Lake,Fletcher brook,Remnant Dam,2010,4.1,4.5,,14.6,NOAA,,2000,,,,,,,,-67.917306,45.059849
137,589109,4982940,Middle Machias River,Pembroke Stream-Machias River,Kerwin brook,Remnant Dam,2010,3.3,4.5,,14.6,,,2000,,,,,,,,-67.869507,44.994311
138,587504,4986648,,,Know Lake outlet,Open Arch,2011,1.64,,,,NOAA,,,,,,,,,,-67.88922,45.027883
139,586865,4993426,,,Thompson brook,Open Arch,2011,0.31,,,,NOAA,,,,,,,,,,-67.896157,45.088965
140,584630,4996452,,,Dead Stream - Washington Bald,Open Arch,2011,1.14,,,9,NOAA,,,,,,,,,,-67.924041,45.116471
141,587977,4982477,,,Kerwin brook tributary,Open Arch,2011,0.8,,,,,,,,,,,,,,-67.883946,44.990285
142,589908,4993027,,,Unnamed tributary,Bridge,2011,0.53,,,,,,,,,,,,,,-67.857567,45.084994
143,615179,4988201,East Machias River,Rocky Lake Stream,Dead stream,Open Arch,2011,0.25,0.43,,6.5,NFPP,,,,,,,44,9,"4'8""",-67.537657,45.037902
144,617493,4986372,East Machias River,Rocky Lake Stream,Barrows brook tributary,Open Arch,2011,0.67,0.75,,7.9,NFPP,,,,,,,44,10,"5'3""",-67.508715,45.021063
145,617653,4977643,East Machias River,Rocky Lake Stream,Northern stream,Decommission,2011,23,20.9,,37.3,NFPP,,,,,,,,,,-67.508723,44.942486
